,song_title,artist,billboard_rank,billboard_last_week,billboard_peak,billboard_duration,itunes_rank,spotify_rank,spotify_streams,shazam_rank
0,"1, 2 many",luke combs & brooks & dunn,,,,,136.0,,,
1,"10,000 hours",dan + shay & justin bieber,4.0,,4.0,1.0,2.0,2.0,11129577.0,21.0
2,11 pm,maluma,,,,,,,,189.0
3,16,highly suspect,,,,,150.0,,,123.0
4,223's,ynw melly feat. 9lokknine,37.0,34.0,34.0,5.0,135.0,5.0,7409895.0,61.0
5,3 nights,dominic fike,,,,,141.0,,,71.0
6,7 rings,ariana grande,,,,,,95.0,2172126.0,
7,a million dreams,p!nk,,,,,188.0,,,
8,a thousand bad times,post malone,,,,,,79.0,2450568.0,
9,a thousand years,christina perri,,,,,191.0,,,
10,adicto,"tainy, anuel aa & ozuna",,,,,,,,175.0
11,all dat,moneybagg yo & megan thee stallion,,,,,70.0,,,157.0
12,all night long,yfn lucci feat. trey songz,,,,,,,,190.0
13,all the good girls go to hell,billie eilish,,,,,,,,135.0
14,all to myself,dan + shay,,,,,145.0,,,
15,always remember us this way,lady gaga,,,,,148.0,,,
16,amor a primera vista,"los ángeles azules, belinda & lalo ebratt feat. horacio palencia",,,,,,,,177.0
17,angel of mine,monica,,,,,173.0,,,
18,baby,"quality control, lil baby & dababy",29.0,26.0,21.0,12.0,,26.0,4370718.0,28.0
19,baby sitter,dababy featuring offset,71.0,79.0,71.0,9.0,,,,31.0
20,bad bad bad,young thug featuring lil baby,89.0,93.0,32.0,8.0,,36.0,3644476.0,
21,bad guy,billie eilish,9.0,6.0,1.0,28.0,15.0,25.0,4444457.0,40.0
22,baguettes in the face,mustard,,,,,,87.0,2389410.0,
23,baila conmigo,dayvi & victor cárdenas feat. kelly ruiz,,,,,,,,27.0
24,ballin',mustard featuring roddy ricch,30.0,53.0,30.0,12.0,,51.0,3039416.0,
25,ballin’,mustard feat. roddy ricch,,,,,185.0,,,4.0
26,bandit,juice wrld & youngboy never broke again,11.0,,11.0,1.0,83.0,4.0,9652455.0,47.0
27,be alright,dean lewis,,,,,,,,139.0
28,beautiful crazy,luke combs,,,,,79.0,,,
29,beautiful people,ed sheeran featuring khalid,15.0,14.0,14.0,15.0,16.0,28.0,4297812.0,15.0
30,beer never broke my heart,luke combs,,,,,35.0,,,
31,behind barz,drake,,,,,,,,110.0
32,behind barz - bonus,drake,,,,,,58.0,2774222.0,
33,beige,yoke lore,,,,,,,,122.0
34,believer,imagine dragons,,,,,187.0,,,
35,best part,h.e.r. feat. daniel caesar,,,,,,,,138.0
36,better,khalid,,,,,,94.0,2188753.0,168.0
37,better now,post malone,,,,,180.0,98.0,2146403.0,
38,bezerk,big sean feat. a$ap ferg & hit-boy,,,,,,,,83.0
39,big,young m.a,,,,,,,,147.0
40,big booty,gucci mane feat. megan thee stallion,,,,,,,,161.0
41,bitter love,pia mia,,,,,,,,137.0
42,blackout,freya ridings,,,,,,,,50.0
43,body,summer walker,73.0,,73.0,1.0,,,,
44,bohemian rhapsody,queen,,,,,133.0,,,
45,bop,dababy,41.0,19.0,19.0,2.0,,19.0,5463340.0,136.0
46,boyfriend,ariana grande & social house,59.0,36.0,8.0,10.0,,46.0,3223361.0,95.0
47,boys,lizzo,,,,,163.0,,,
48,burn the ships,for king & country,,,,,112.0,,,
49,buy and buy,ross ellis,,,,,81.0,,,
50,callaita,bad bunny & tainy,87.0,82.0,52.0,18.0,193.0,90.0,2259915.0,112.0
51,camelot,nle choppa,40.0,42.0,37.0,4.0,,10.0,6084351.0,101.0
52,can we pretend,p!nk feat. cash cash,,,,,,,,174.0
53,can't stop the feeling!,justin timberlake,,,,,144.0,,,
54,cash shit,megan thee stallion featuring dababy,55.0,44.0,36.0,16.0,176.0,100.0,2134395.0,34.0
55,china,"anuel aa, daddy yankee, karol g, ozuna & j balvin",70.0,70.0,43.0,12.0,,,,74.0
56,choosy,fabolous feat. jeremih & davido,,,,,,,,180.0
57,circles,post malone,6.0,7.0,4.0,6.0,3.0,3.0,10046611.0,3.0
58,come thru,summer walker & usher,42.0,,42.0,1.0,,50.0,3049722.0,148.0
59,complicated,olivia o'brien,,,,,,,,51.0
60,cringe,matt maeson,,,,,,,,182.0
61,cry for me,camila cabello,,,,,38.0,71.0,2538852.0,
62,crying game,bad wolves,,,,,100.0,,,
63,dance monkey,tones and i,96.0,,96.0,1.0,54.0,33.0,3750861.0,12.0
64,dancing with a stranger,sam smith & normani,33.0,31.0,7.0,39.0,47.0,,,94.0
65,did it again,lil tecca,,,,,,48.0,3123209.0,
66,die for me,post malone featuring future & halsey,94.0,80.0,20.0,5.0,,42.0,3294953.0,
67,dissolve,absofacto,,,,,,,,134.0
68,doin' time,lana del rey,,,,,164.0,,,90.0
69,don't call me angel,"ariana grande, miley cyrus & lana del rey",75.0,71.0,13.0,4.0,121.0,,,
70,don't give up on me,andy grammer,,,,,140.0,,,
71,don’t call me angel,ariana grande & miley cyrus & lana del rey,,,,,,44.0,3273198.0,98.0
72,drip too hard,lil baby,,,,,,60.0,2706154.0,
73,drogba,afro b,,,,,,,,121.0
