,song_title,artist,billboard_rank,billboard_last_week,billboard_peak,billboard_duration
0,HIGHEST IN THE ROOM,Travis Scott,1,,1,1
1,Truth Hurts,Lizzo,2,1.0,1,23
2,Senorita,Shawn Mendes & Camila Cabello,3,2.0,1,16
3,"10,000 Hours",Dan + Shay & Justin Bieber,4,,4,1
4,Someone You Loved,Lewis Capaldi,5,3.0,3,22
5,Circles,Post Malone,6,7.0,4,6
6,No Guidance,Chris Brown Featuring Drake,7,5.0,5,18
7,Ran$om,Lil Tecca,8,4.0,4,19
8,Bad Guy,Billie Eilish,9,6.0,1,28
9,Panini,Lil Nas X,10,8.0,5,16
10,Bandit,Juice WRLD & YoungBoy Never Broke Again,11,,11,1
11,Goodbyes,Post Malone Featuring Young Thug,12,9.0,3,14
12,I Don't Care,Ed Sheeran & Justin Bieber,13,11.0,2,22
13,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,14,10.0,1,32
14,Beautiful People,Ed Sheeran Featuring Khalid,15,14.0,14,15
15,Playing Games,Summer Walker,16,75.0,16,6
16,Talk,Khalid,17,12.0,3,35
17,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,18,15.0,1,51
18,Sucker,Jonas Brothers,19,16.0,1,32
19,Memories,Maroon 5,20,29.0,20,3
20,Money In The Grave,Drake Featuring Rick Ross,21,17.0,7,17
21,Trampoline,SHAED,22,18.0,18,19
22,Only Human,Jonas Brothers,23,22.0,22,17
23,Good As Hell,Lizzo,24,30.0,24,7
24,Suge,DaBaby,25,20.0,7,28
25,How Do You Sleep?,Sam Smith,26,24.0,24,12
26,On Chill,Wale Featuring Jeremih,27,23.0,23,9
27,You Need To Calm Down,Taylor Swift,28,27.0,2,17
28,Baby,Lil Baby & DaBaby,29,26.0,21,12
29,Ballin',Mustard Featuring Roddy Ricch,30,53.0,30,12
30,Hot Girl Summer,"Megan Thee Stallion, Nicki Minaj & Ty Dolla $ign",31,25.0,11,9
31,INTRO,DaBaby,32,13.0,13,3
32,Dancing With A Stranger,Sam Smith & Normani,33,31.0,7,39
33,Lover,Taylor Swift,34,45.0,10,8
34,My Type,Saweetie,35,32.0,21,15
35,Prayed For You,Matt Stell,36,46.0,36,10
36,223's,YNW Melly & 9lokknine,37,34.0,34,5
37,Hot,Young Thug Featuring Gunna,38,37.0,26,8
38,Wow.,Post Malone,39,35.0,2,42
39,Camelot,NLE Choppa,40,42.0,37,4
40,BOP,DaBaby,41,19.0,19,2
41,Come Thru,Summer Walker & Usher,42,,42,1
42,One Thing Right,Marshmello & Kane Brown,43,38.0,38,16
43,Graveyard,Halsey,44,60.0,44,4
44,The Git Up,Blanco Brown,45,39.0,14,18
45,VIBEZ,DaBaby,46,21.0,21,2
46,Heat,Chris Brown Featuring Gunna,47,57.0,47,6
47,If I Can't Have You,Shawn Mendes,48,41.0,2,23
48,Even Though I'm Leaving,Luke Combs,49,58.0,49,6
49,Take What You Want,Post Malone Featuring Ozzy Osbourne & Travis Scott,50,40.0,8,5
50,I Don't Know About You,Chris Lane,51,48.0,39,14
51,Time,NF,52,54.0,49,12
52,The Bones,Maren Morris,53,,53,3
53,One Man Band,Old Dominion,54,62.0,54,7
54,Cash Shit,Megan Thee Stallion Featuring DaBaby,55,44.0,36,16
55,Good Vibes,Chris Janson,56,66.0,56,6
56,The London,"Young Thug, J. Cole & Travis Scott",57,50.0,12,20
57,Liar,Camila Cabello,58,61.0,54,5
58,Boyfriend,Ariana Grande & Social House,59,36.0,8,10
59,Living,Dierks Bentley,60,59.0,51,11
60,I'll Kill You,Summer Walker Featuring Jhene Aiko,61,,61,1
61,Enemies,Post Malone Featuring DaBaby,62,52.0,16,5
62,Love You Too Late,Cole Swindell,63,65.0,63,10
63,What Happens In A Small Town,Brantley Gilbert + Lindsay Ell,64,85.0,64,9
64,Motivation,Normani,65,67.0,33,8
65,Hot Girl Bummer,blackbear,66,76.0,66,4
66,TOES,DaBaby Featuring Lil Baby & Moneybagg Yo,67,28.0,28,2
67,Stretch You Out,Summer Walker Featuring A Boogie Wit da Hoodie,68,,68,1
68,Every Little Thing,Russell Dickerson,69,77.0,69,6
69,China,"Anuel AA, Daddy Yankee, Karol G, Ozuna & J Balvin",70,70.0,43,12
70,Baby Sitter,DaBaby Featuring Offset,71,79.0,71,9
71,Lalala,Y2K & bbno$,72,72.0,55,15
72,Body,Summer Walker,73,,73,1
73,Writing On The Wall,"French Montana Featuring Post Malone, Cardi B & Rvssian",74,56.0,56,2
74,Don't Call Me Angel (Charlie's Angels),"Ariana Grande, Miley Cyrus & Lana Del Rey",75,71.0,13,4
75,Saint-Tropez,Post Malone,76,68.0,18,5
76,Tip Of My Tongue,Kenny Chesney,77,83.0,76,13
77,Otro Trago,"Sech, Darell, Nicky Jam, Ozuna & Anuel AA",78,78.0,34,18
78,Drunk Dialing...LODT,Summer Walker,79,,79,1
79,Over It,Summer Walker,80,,80,1
80,Hollywood's Bleeding,Post Malone,81,74.0,15,5
81,Remember You Young,Thomas Rhett,82,91.0,82,4
82,Nice To Meet Ya,Niall Horan,83,,83,1
83,F.N,Lil Tjay,84,90.0,68,9
84,Higher Love,Kygo X Whitney Houston,85,95.0,63,5
85,Wish Wish,DJ Khaled Featuring Cardi B & 21 Savage,86,94.0,19,13
86,Callaita,Bad Bunny & Tainy,87,82.0,52,18
87,Southbound,Carrie Underwood,88,64.0,64,13
88,Bad Bad Bad,Young Thug Featuring Lil Baby,89,93.0,32,8
89,RAW SHIT,DaBaby Featuring Migos,90,51.0,51,2
90,Leave Em Alone,"Layton Greene, Lil Baby, City Girls & PnB Rock",91,,91,1
91,Potential,Summer Walker,92,,92,1
92,Right Back,Khalid Featuring A Boogie Wit da Hoodie,93,88.0,73,11
93,Die For Me,Post Malone Featuring Future & Halsey,94,80.0,20,5
94,Heartache Medication,Jon Pardi,95,84.0,84,2
95,Dance Monkey,Tones And I,96,,96,1
96,POP STAR,DaBaby Featuring Kevin Gates,97,49.0,49,2
97,Self Control,YoungBoy Never Broke Again,98,96.0,68,5
98,No Me Conoce,"Jhay Cortez, J Balvin & Bad Bunny",99,97.0,71,14
99,Slow Dancing In The Dark,Joji,100,,96,2
