,itunes_rank,song_title,artist,genre
0,1.0,Memories,Maroon 5,Pop
1,2.0,"10,000 Hours",Dan + Shay & Justin Bieber,Country
2,3.0,Circles,Post Malone,Hip Hop / Rap
3,4.0,Truth Hurts,Lizzo,Pop
4,5.0,Someone You Loved,Lewis Capaldi,Alternative
5,6.0,Good as Hell,Lizzo,Pop
6,7.0,Kinfolks,Sam Hunt,Country
7,8.0,Señorita,Shawn Mendes & Camila Cabello,Pop
8,9.0,Lover,Taylor Swift,Pop
9,10.0,One Thing Right,Marshmello & Kane Brown,Pop
10,11.0,Easy,Camila Cabello,Pop
11,12.0,Lights Up,Harry Styles,Pop
12,13.0,Even Though I'm Leaving,Luke Combs,Country
13,14.0,One Man Band,Old Dominion,Country
14,15.0,bad guy,Billie Eilish,Alternative
15,16.0,Beautiful People (feat. Khalid),Ed Sheeran,Pop
16,17.0,The Git Up,Blanco Brown,Country
17,18.0,Only Human,Jonas Brothers,Pop
18,19.0,Old Town Road (feat. Billy Ray Cyrus) [Remix],Lil Nas X,Country
19,20.0,Got What I Got,Jason Aldean,Country
20,21.0,You Say,Lauren Daigle,Christian & Gospel
21,22.0,Prayed for You,Matt Stell,Country
22,23.0,You Need To Calm Down,Taylor Swift,Pop
23,24.0,Higher Love,Kygo & Whitney Houston,Pop
24,25.0,Someone You Loved,Lewis Capaldi,Alternative
25,26.0,Take What You Want (feat. Ozzy Osbourne & Travis Scott),Post Malone,Hip Hop / Rap
26,27.0,Truth Hurts,Lizzo,Pop
27,28.0,I Don't Care,Ed Sheeran & Justin Bieber,Pop
28,29.0,Hell Right (feat. Trace Adkins),Blake Shelton,Country
29,30.0,I Wish Grandpas Never Died,Riley Green,Country
30,31.0,HIGHEST IN THE ROOM,Travis Scott,Hip Hop / Rap
31,32.0,Rescue,Lauren Daigle,Christian & Gospel
32,33.0,Sunflower (Spider-Man: Into the Spider-Verse),Post Malone & Swae Lee,Hip Hop / Rap
33,34.0,Graveyard,Halsey,Alternative
34,35.0,Beer Never Broke My Heart,Luke Combs,Country
35,36.0,How Do You Sleep?,Sam Smith,Pop
36,37.0,Goodbyes (feat. Young Thug),Post Malone,Hip Hop / Rap
37,38.0,Cry for Me,Camila Cabello,Pop
38,39.0,Liar,Camila Cabello,Pop
39,40.0,Sucker,Jonas Brothers,Pop
40,41.0,Tip of My Tongue,Kenny Chesney,Country
41,42.0,I Don't Know About You,Chris Lane,Country
42,43.0,Tequila Does,Miranda Lambert,Country
43,44.0,Nice to Meet Ya,Niall Horan,Pop
44,45.0,What If I Never Get Over You,Lady Antebellum,Country
45,46.0,God's Country,Blake Shelton,Country
46,47.0,Dancing with a Stranger,Sam Smith & Normani,Pop
47,48.0,What You See Is What You Get,Luke Combs,Country
48,49.0,Nobody (feat. Matthew West),Casting Crowns,Christian & Gospel
49,50.0,More Hearts Than Mine,Ingrid Andress,Country
50,51.0,Remember You Young,Thomas Rhett,Country
51,52.0,Shallow,Lady Gaga & Bradley Cooper,Soundtrack
52,53.0,The Bones,Maren Morris,Country
53,54.0,Dance Monkey,Tones and I,Alternative
54,55.0,Trampoline,SHAED,Alternative
55,56.0,Tennessee Whiskey,Chris Stapleton,Country
56,57.0,Panini,Lil Nas X,Alternative
57,58.0,Time,NF,Hip Hop / Rap
58,59.0,Speechless,Dan + Shay,Country
59,60.0,No Guidance (feat. Drake),Chris Brown,R&B / Soul
60,61.0,Juice,Lizzo,Pop
61,62.0,Circles,Post Malone,Hip Hop / Rap
62,63.0,Motivation,Normani,Pop
63,64.0,Knockin' Boots,Luke Bryan,Country
64,65.0,Good Vibes,Chris Janson,Country
65,66.0,Perfect,Ed Sheeran,Pop
66,67.0,High Hopes,Panic! At the Disco,Alternative
67,68.0,Walk Me Home,P!nk,Pop
68,69.0,Good Things Fall Apart,Illenium & Jon Bellion,Dance
69,70.0,All Dat,Moneybagg Yo & Megan Thee Stallion,Hip Hop / Rap
70,71.0,On Chill (feat. Jeremih),Wale,Hip Hop / Rap
71,72.0,Fire't Up,Brantley Gilbert,Country
