spotify_rank,song_title,artist,spotify_streams
1,HIGHEST IN THE ROOM,Travis Scott,20518547
2,"10,000 Hours (with Justin Bieber)",Dan + Shay,11129577
3,Circles,Post Malone,10046611
4,Bandit (with YoungBoy Never Broke Again),Juice WRLD,9652455
5,223's (feat. 9lokknine),YNW Melly,7409895
6,Truth Hurts,Lizzo,7065663
7,hot girl bummer,blackbear,6561090
8,Ransom,Lil Tecca,6331945
9,Someone You Loved,Lewis Capaldi,6105495
10,Camelot,NLE Choppa,6084351
11,Hot (feat. Gunna),Young Thug,5994683
12,Goodbyes (Feat. Young Thug),Post Malone,5971146
13,No Guidance (feat. Drake),Chris Brown,5914874
14,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,5807807
15,Panini,Lil Nas X,5689437
16,Saint-Tropez,Post Malone,5655643
17,Take What You Want (feat. Ozzy Osbourne & Travis Scott),Post Malone,5563158
18,Money In The Grave (Drake ft. Rick Ross),Drake,5498657
19,BOP,DaBaby,5463340
20,VIBEZ,DaBaby,5399322
21,Enemies (feat. DaBaby),Post Malone,5139771
22,Señorita,Shawn Mendes,5089857
23,Memories,Maroon 5,4737913
24,Good As Hell,Lizzo,4472027
25,bad guy,Billie Eilish,4444457
26,Baby (Lil Baby feat. DaBaby),Quality Control,4370718
27,Suge,DaBaby,4333155
28,Beautiful People (feat. Khalid),Ed Sheeran,4297812
29,How Do You Sleep?,Sam Smith,4222131
30,Graveyard,Halsey,4158891
31,The London (feat. J. Cole & Travis Scott),Young Thug,4078284
32,Lalala,Y2K,3923721
33,Dance Monkey,Tones and I,3750861
34,Hollywood's Bleeding,Post Malone,3749973
35,INTRO,DaBaby,3711127
36,Bad Bad Bad (feat. Lil Baby),Young Thug,3644476
37,F.N,Lil Tjay,3641075
38,Panini - DaBaby Remix,Lil Nas X,3487688
39,Stuck In A Dream (feat. Gunna),Lil Mosey,3479649
40,Wow.,Post Malone,3416264
41,Pop Out (feat. Lil Tjay),Polo G,3337660
42,Die For Me (feat. Future & Halsey),Post Malone,3294953
43,Playing Games (with Bryson Tiller) - Extended Version,Summer Walker,3273885
44,Don’t Call Me Angel (Charlie’s Angels) (with Miley Cyrus & Lana Del Rey),Ariana Grande,3273198
45,On The Road (feat. Meek Mill & Lil Baby),Post Malone,3247240
46,boyfriend (with Social House),Ariana Grande,3223361
47,Lover,Taylor Swift,3144856
48,Did It Again,Lil Tecca,3123209
49,MIDDLE CHILD,J. Cole,3117072
50,Come Thru (with Usher),Summer Walker,3049722
51,Ballin' (feat. Roddy Ricch),Mustard,3039416
52,SICKO MODE,Travis Scott,2874292
53,Talk (feat. Disclosure),Khalid,2852981
54,Ransom (with Juice WRLD) - Remix,Lil Tecca,2848799
55,Good Thing (with Kehlani),Zedd,2848770
56,Liar,Camila Cabello,2825634
57,Writing on the Wall (feat. Post Malone & Cardi B),French Montana,2780250
58,Behind Barz - Bonus,Drake,2774222
59,Valentino,24kGoldn,2725168
60,Drip Too Hard (Lil Baby & Gunna),Lil Baby,2706154
61,It's You,Ali Gatie,2680283
62,I Don't Care (with Justin Bieber),Ed Sheeran,2621145
63,RAW SHIT (feat. Migos),DaBaby,2617208
64,Heartless (feat. Morgan Wallen),Diplo,2603428
65,You Need To Calm Down,Taylor Swift,2582875
66,Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign),Megan Thee Stallion,2580039
67,TOES (feat. Lil Baby & Moneybagg Yo),DaBaby,2566592
68,Going Bad (feat. Drake),Meek Mill,2553202
69,Swervin (feat. 6ix9ine),A Boogie Wit da Hoodie,2544585
70,Shotta Flow (Feat. Blueface) [Remix],NLE Choppa,2541089
71,Cry for Me,Camila Cabello,2538852
72,Hot Shower,Chance the Rapper,2511964
73,Motivation,Normani,2507152
74,I.F.L.Y.,Bazzi,2493559
75,Lucid Dreams,Juice WRLD,2478651
76,SLOW DANCING IN THE DARK,Joji,2474140
77,Murder On My Mind,YNW Melly,2469245
78,when the party's over,Billie Eilish,2457158
79,A Thousand Bad Times,Post Malone,2450568
80,Sanguine Paradise,Lil Uzi Vert,2432203
81,Speechless,Dan + Shay,2420489
82,My Type,Saweetie,2418534
83,Takeaway,The Chainsmokers,2417914
84,EARFQUAKE,"Tyler, The Creator",2415757
85,Old Town Road - Remix,Lil Nas X,2409651
86,lovely (with Khalid),Billie Eilish,2390714
87,"Baguettes in the Face (feat. NAV, Playboi Carti & A Boogie Wit da Hoodie)",Mustard,2389410
88,Lonely (with Jonas Brothers),Diplo,2364215
89,"fuck, i'm lonely (with Anne-Marie) - from “13 Reasons Why: Season 3”",Lauv,2270070
90,Callaita,Bad Bunny,2259915
91,Envy Me,Calboy,2258322
92,Love Me,Lil Tecca,2257263
93,rockstar (feat. 21 Savage),Post Malone,2241230
94,Better,Khalid,2188753
95,7 rings,Ariana Grande,2172126
96,goosebumps,Travis Scott,2165826
97,Pure Water (with Migos),Mustard,2146547
98,Better Now,Post Malone,2146403
99,Robbery,Juice WRLD,2142075
100,Cash Shit (feat. DaBaby),Megan Thee Stallion,2134395
